pca_x,pca_y,cluster_label,deck_type,era
1.5030202054428248,-0.13589583355591187,Commander/Brawl,Commander Deck,2020-Present
-0.3303501315110128,-0.1129121443364523,General Pool,Secret Lair Drop,2020-Present
2.0144598328329693,-0.06910599873659629,Commander/Brawl,Commander Deck,2020-Present
-0.26546691640764636,-0.05393975731036946,General Pool,Intro Pack,Pre-2015
1.068162040500305,0.06711637510146118,Commander/Brawl,Commander Deck,2015-2019
-0.07420771224978881,-0.07151484369063829,General Pool,MTGO Redemption,2020-Present
-0.07420771224978881,-0.07151484369063829,General Pool,MTGO Redemption,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,World Championship Deck,Pre-2015
-0.35048912086290235,0.055711163542665365,General Pool,Game Night Deck,2015-2019
-0.329741048822407,-0.08737999436069799,General Pool,Arena Starter Deck,2020-Present
-0.39506214183414556,0.24036780006154457,General Pool,Theme Deck,Pre-2015
-0.12243000386084879,0.05107989315605299,MTGO/Digital (Modern),MTGO Redemption,2020-Present
-0.36273283742363094,0.04788615172739663,General Pool,MTGO Redemption,2015-2019
-0.36273283742363094,0.04788615172739663,General Pool,MTGO Redemption,2015-2019
-0.009286776306630051,0.6675007310332481,General Pool,Shandalar Enemy Deck,Pre-2015
2.330987819387844,-0.004193867070395152,Commander/Brawl,Commander Deck,2020-Present
-0.34532332379823294,-0.03893728817450476,General Pool,MTGO Theme Deck,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,Theme Deck,Pre-2015
-0.05918715434255448,-0.18855296565785495,General Pool,Duel Deck,Pre-2015
-0.34532332379823294,-0.03893728817450476,General Pool,Planeswalker Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Planeswalker Deck,2015-2019
-0.3075011429203462,-0.12280865671869245,General Pool,Planeswalker Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,MTGO Redemption,Pre-2015
-0.306769528628315,-0.27444363433559005,General Pool,MTGO Redemption,Pre-2015
-0.3162999275235022,-0.2535999943001689,General Pool,World Championship Deck,Pre-2015
-0.08307782404394493,-0.14394067344841247,General Pool,Challenger Deck,2020-Present
-0.32244469533003567,-0.13234264722997197,General Pool,Shandalar Enemy Deck,Pre-2015
-0.15088195508110055,0.5752555799291577,General Pool,MTGO Redemption,2015-2019
-0.15088195508110055,0.5752555799291577,General Pool,MTGO Redemption,2015-2019
-0.36101423861470194,0.18991775455127657,General Pool,Welcome Deck,2015-2019
-0.34182311226421513,-0.03863265295928417,General Pool,Welcome Deck,2015-2019
-0.3319416376199301,-0.045993707772446324,General Pool,Welcome Deck,2015-2019
-0.3695794762853691,0.0492765369565481,General Pool,Welcome Deck,2015-2019
-0.35781428643856,0.08113346403893151,General Pool,Welcome Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Starter Kit,2020-Present
-0.306769528628315,-0.27444363433559005,General Pool,Arena Starter Deck,2020-Present
0.25039251967620973,-0.06331965930324257,General Pool,Secret Lair Drop,2020-Present
-0.28518618267835777,-0.2447306452032921,General Pool,Arena Starter Deck,2020-Present
-0.3742963485153623,0.1938466227690152,General Pool,Arena Starter Deck,2020-Present
-0.3529562297142779,0.22268841295491115,General Pool,Arena Starter Deck,2015-2019
-0.306769528628315,-0.27444363433559005,General Pool,Intro Pack,2015-2019
-0.29281807526079834,0.11688463438355823,General Pool,Intro Pack,Pre-2015
1.2766431333416406,-0.18586226447345672,Commander/Brawl,Commander Deck,2020-Present
-0.31926407406170054,-0.05460581281996027,General Pool,Theme Deck,2020-Present
-0.34532332379823294,-0.03893728817450476,General Pool,Theme Deck,Pre-2015
-0.3235314686704053,-0.24927656439587834,General Pool,Planeswalker Deck,2015-2019
