card,support,color_identity
Evolving Wilds,0.16942148760330578,5-Color (WUBRG)
Naturalize,0.16115702479338842,5-Color (WUBRG)
Negate,0.15289256198347106,5-Color (WUBRG)
Mind Rot,0.14049586776859505,5-Color (WUBRG)
Duress,0.128099173553719,5-Color (WUBRG)
Cancel,0.128099173553719,5-Color (WUBRG)
Pacifism,0.12396694214876033,5-Color (WUBRG)
Plummet,0.11570247933884298,5-Color (WUBRG)
Demolish,0.11570247933884298,5-Color (WUBRG)
Serra Angel,0.11570247933884298,5-Color (WUBRG)
Shock,0.11570247933884298,5-Color (WUBRG)
Gravedigger,0.1115702479338843,5-Color (WUBRG)
Giant Growth,0.10743801652892562,5-Color (WUBRG)
Unsummon,0.10743801652892562,5-Color (WUBRG)
Disenchant,0.2054794520547945,Azorius (WU)
Counterspell,0.1506849315068493,Azorius (WU)
Pacifism,0.1506849315068493,Azorius (WU)
Tranquil Cove,0.1232876712328767,Azorius (WU)
Meandering River,0.1095890410958904,Azorius (WU)
Negate,0.1095890410958904,Azorius (WU)
Wrath of God,0.1095890410958904,Azorius (WU)
Dark Ritual,0.2328767123287671,Mono-Black
Gravedigger,0.2191780821917808,Mono-Black
Mind Rot,0.1917808219178082,Mono-Black
Unholy Strength,0.1506849315068493,Mono-Black
Sengir Vampire,0.1506849315068493,Mono-Black
Murder,0.1506849315068493,Mono-Black
Ravenous Rats,0.136986301369863,Mono-Black
Drudge Skeletons,0.136986301369863,Mono-Black
Dark Banishing,0.136986301369863,Mono-Black
Consume Spirit,0.1232876712328767,Mono-Black
Walking Corpse,0.1232876712328767,Mono-Black
Terror,0.1232876712328767,Mono-Black
Corrupt,0.1095890410958904,Mono-Black
Drain Life,0.1095890410958904,Mono-Black
Gravewaker,0.1095890410958904,Mono-Black
Rise from the Grave,0.1095890410958904,Mono-Black
Nightmare,0.1095890410958904,Mono-Black
Polluted Mire,0.1095890410958904,Mono-Black
Rampant Growth,0.17142857142857143,Gruul (RG)
Llanowar Elves,0.15714285714285714,Gruul (RG)
Fireball,0.11428571428571428,Gruul (RG)
Gruul Turf,0.11428571428571428,Gruul (RG)
Terramorphic Expanse,0.11428571428571428,Gruul (RG)
Giant Growth,0.1,Gruul (RG)
Gruul Guildgate,0.1,Gruul (RG)
Rugged Highlands,0.1,Gruul (RG)
Shock,0.391304347826087,Mono-Red
Shivan Dragon,0.2463768115942029,Mono-Red
Act of Treason,0.15942028985507245,Mono-Red
Incinerate,0.14492753623188406,Mono-Red
Fireball,0.13043478260869565,Mono-Red
Lightning Bolt,0.13043478260869565,Mono-Red
Chandra's Outrage,0.13043478260869565,Mono-Red
Blaze,0.13043478260869565,Mono-Red
Spitting Earth,0.11594202898550725,Mono-Red
Volcanic Dragon,0.11594202898550725,Mono-Red
Raging Goblin,0.11594202898550725,Mono-Red
Cone of Flame,0.10144927536231885,Mono-Red
Furnace Whelp,0.10144927536231885,Mono-Red
Fireblast,0.10144927536231885,Mono-Red
Lightning Strike,0.10144927536231885,Mono-Red
Lava Axe,0.10144927536231885,Mono-Red
Pacifism,0.31343283582089554,Mono-White
Serra Angel,0.31343283582089554,Mono-White
Mighty Leap,0.16417910447761194,Mono-White
Disenchant,0.16417910447761194,Mono-White
Swords to Plowshares,0.14925373134328357,Mono-White
Inspired Charge,0.13432835820895522,Mono-White
Venerable Monk,0.11940298507462686,Mono-White
Serra's Guardian,0.11940298507462686,Mono-White
Angel of Mercy,0.1044776119402985,Mono-White
Serra's Embrace,0.1044776119402985,Mono-White
Dimir Aqueduct,0.14285714285714285,Dimir (UB)
Dismal Backwater,0.14285714285714285,Dimir (UB)
Doom Blade,0.12698412698412698,Dimir (UB)
Counterspell,0.1111111111111111,Dimir (UB)
Command Tower,0.1111111111111111,Dimir (UB)
Arcane Signet,0.1111111111111111,Dimir (UB)
Dimir Signet,0.1111111111111111,Dimir (UB)
Murder,0.1111111111111111,Dimir (UB)
Submerged Boneyard,0.1111111111111111,Dimir (UB)
Tainted Isle,0.1111111111111111,Dimir (UB)
Temple of Deceit,0.1111111111111111,Dimir (UB)
Blossoming Sands,0.1774193548387097,Selesnya (GW)
Pacifism,0.16129032258064516,Selesnya (GW)
Giant Growth,0.14516129032258066,Selesnya (GW)
Selesnya Sanctuary,0.12903225806451613,Selesnya (GW)
Disenchant,0.11290322580645161,Selesnya (GW)
Evolving Wilds,0.11290322580645161,Selesnya (GW)
Krosan Verge,0.11290322580645161,Selesnya (GW)
Graypelt Refuge,0.11290322580645161,Selesnya (GW)
Terramorphic Expanse,0.11290322580645161,Selesnya (GW)
Tranquil Expanse,0.11290322580645161,Selesnya (GW)
Giant Growth,0.3442622950819672,Mono-Green
Llanowar Elves,0.3114754098360656,Mono-Green
Giant Spider,0.22950819672131148,Mono-Green
Rabid Bite,0.19672131147540983,Mono-Green
Titanic Growth,0.19672131147540983,Mono-Green
Plummet,0.18032786885245902,Mono-Green
Overrun,0.14754098360655737,Mono-Green
Aggressive Mammoth,0.11475409836065574,Mono-Green
Blanchwood Armor,0.11475409836065574,Mono-Green
Wood Elves,0.11475409836065574,Mono-Green
Swiftwater Cliffs,0.1896551724137931,Izzet (UR)
Izzet Boilerworks,0.15517241379310345,Izzet (UR)
Goblin Electromancer,0.15517241379310345,Izzet (UR)
Shock,0.15517241379310345,Izzet (UR)
Izzet Guildgate,0.13793103448275862,Izzet (UR)
Izzet Signet,0.13793103448275862,Izzet (UR)
Lightning Strike,0.1206896551724138,Izzet (UR)
Temple of Epiphany,0.1206896551724138,Izzet (UR)
Evolving Wilds,0.10344827586206896,Izzet (UR)
Command Tower,0.10344827586206896,Izzet (UR)
Negate,0.10344827586206896,Izzet (UR)
Shivan Reef,0.10344827586206896,Izzet (UR)
Opt,0.10344827586206896,Izzet (UR)
Sol Ring,0.10344827586206896,Izzet (UR)
Sleep,0.10344827586206896,Izzet (UR)
Air Elemental,0.3508771929824561,Mono-Blue
Unsummon,0.3333333333333333,Mono-Blue
Counterspell,0.24561403508771928,Mono-Blue
Riddlemaster Sphinx,0.14035087719298245,Mono-Blue
Divination,0.12280701754385964,Mono-Blue
Negate,0.12280701754385964,Mono-Blue
Cancel,0.12280701754385964,Mono-Blue
Cloudkin Seer,0.12280701754385964,Mono-Blue
Wind Drake,0.12280701754385964,Mono-Blue
Thieving Magpie,0.12280701754385964,Mono-Blue
Mahamoti Djinn,0.10526315789473684,Mono-Blue
Disperse,0.10526315789473684,Mono-Blue
Snapping Drake,0.10526315789473684,Mono-Blue
Phantom Warrior,0.10526315789473684,Mono-Blue
Warden of Evos Isle,0.10526315789473684,Mono-Blue
Winged Words,0.10526315789473684,Mono-Blue
