card,support,era
Pacifism,0.09266409266409266,Pre-2015
Giant Growth,0.08236808236808237,Pre-2015
Terramorphic Expanse,0.07593307593307594,Pre-2015
Disenchant,0.07593307593307594,Pre-2015
Llanowar Elves,0.0682110682110682,Pre-2015
Naturalize,0.0682110682110682,Pre-2015
Serra Angel,0.06692406692406692,Pre-2015
Fireball,0.06177606177606178,Pre-2015
Shock,0.059202059202059204,Pre-2015
Unsummon,0.05791505791505792,Pre-2015
Counterspell,0.05662805662805663,Pre-2015
Lava Axe,0.05405405405405406,Pre-2015
Mind Rot,0.05405405405405406,Pre-2015
Giant Spider,0.05148005148005148,Pre-2015
Gravedigger,0.05148005148005148,Pre-2015
Rampant Growth,0.05019305019305019,Pre-2015
Lightning Bolt,0.0489060489060489,Pre-2015
Incinerate,0.0489060489060489,Pre-2015
Birds of Paradise,0.047619047619047616,Pre-2015
Dark Ritual,0.04504504504504504,Pre-2015
Evolving Wilds,0.26148409893992935,2015-2019
Command Tower,0.11307420494699646,2015-2019
Sol Ring,0.10600706713780919,2015-2019
Terramorphic Expanse,0.10247349823321555,2015-2019
Shock,0.0989399293286219,2015-2019
Lightning Strike,0.08833922261484099,2015-2019
Negate,0.07420494699646643,2015-2019
Murder,0.07420494699646643,2015-2019
Meteor Golem,0.07420494699646643,2015-2019
Inspired Charge,0.0706713780918728,2015-2019
Gravedigger,0.0706713780918728,2015-2019
Act of Treason,0.06713780918727916,2015-2019
Woodland Stream,0.0636042402826855,2015-2019
Mighty Leap,0.0636042402826855,2015-2019
Stone Quarry,0.0636042402826855,2015-2019
Air Elemental,0.06007067137809187,2015-2019
Foul Orchard,0.06007067137809187,2015-2019
Jungle Hollow,0.06007067137809187,2015-2019
Rabid Bite,0.06007067137809187,2015-2019
Plummet,0.06007067137809187,2015-2019
Command Tower,0.416403785488959,2020-Present
Arcane Signet,0.41324921135646686,2020-Present
Sol Ring,0.41009463722397477,2020-Present
Exotic Orchard,0.305993690851735,2020-Present
Evolving Wilds,0.26813880126182965,2020-Present
Path of Ancestry,0.24921135646687698,2020-Present
Myriad Landscape,0.17350157728706625,2020-Present
Commander's Sphere,0.17034700315457413,2020-Present
Terramorphic Expanse,0.167192429022082,2020-Present
Temple of the False God,0.14195583596214512,2020-Present
Ash Barrens,0.13564668769716087,2020-Present
Mind Stone,0.13249211356466878,2020-Present
Swords to Plowshares,0.11356466876971609,2020-Present
Solemn Simulacrum,0.09779179810725552,2020-Present
Cultivate,0.09779179810725552,2020-Present
Rogue's Passage,0.0946372239747634,2020-Present
Prairie Stream,0.0946372239747634,2020-Present
Fellwar Stone,0.0914826498422713,2020-Present
Wayfarer's Bauble,0.0914826498422713,2020-Present
Temple of Enlightenment,0.08517350157728706,2020-Present
