card,support,format
Disenchant,0.08878504672897196,Theme Deck
Pacifism,0.0794392523364486,Theme Deck
Dark Banishing,0.0514018691588785,Theme Deck
Giant Growth,0.0514018691588785,Theme Deck
Dark Ritual,0.04672897196261682,Theme Deck
Counterspell,0.04672897196261682,Theme Deck
Air Elemental,0.04672897196261682,Theme Deck
Terramorphic Expanse,0.04672897196261682,Theme Deck
Shock,0.04672897196261682,Theme Deck
Raging Goblin,0.04205607476635514,Theme Deck
Gravedigger,0.04205607476635514,Theme Deck
Incinerate,0.037383177570093455,Theme Deck
Naturalize,0.037383177570093455,Theme Deck
Drifting Meadow,0.037383177570093455,Theme Deck
Rampant Growth,0.037383177570093455,Theme Deck
Polluted Mire,0.037383177570093455,Theme Deck
Terror,0.037383177570093455,Theme Deck
Ravenous Rats,0.03271028037383177,Theme Deck
Blaze,0.03271028037383177,Theme Deck
Wurm's Tooth,0.03271028037383177,Theme Deck
Naturalize,0.18461538461538463,MTGO Redemption
Evolving Wilds,0.16923076923076924,MTGO Redemption
Mind Rot,0.1641025641025641,MTGO Redemption
Negate,0.1641025641025641,MTGO Redemption
Cancel,0.14358974358974358,MTGO Redemption
Pacifism,0.13333333333333333,MTGO Redemption
Demolish,0.13333333333333333,MTGO Redemption
Plummet,0.13333333333333333,MTGO Redemption
Gravedigger,0.12307692307692308,MTGO Redemption
Duress,0.12307692307692308,MTGO Redemption
Shock,0.12307692307692308,MTGO Redemption
Giant Growth,0.10256410256410256,MTGO Redemption
Unsummon,0.10256410256410256,MTGO Redemption
Serra Angel,0.10256410256410256,MTGO Redemption
Giant Spider,0.10256410256410256,MTGO Redemption
Lava Axe,0.10256410256410256,MTGO Redemption
Act of Treason,0.10256410256410256,MTGO Redemption
Diabolic Tutor,0.09230769230769231,MTGO Redemption
Divination,0.09230769230769231,MTGO Redemption
Scoured Barrens,0.08205128205128205,MTGO Redemption
Sol Ring,0.9885714285714285,Commander Deck
Command Tower,0.9371428571428572,Commander Deck
Arcane Signet,0.7142857142857143,Commander Deck
Exotic Orchard,0.6171428571428571,Commander Deck
Evolving Wilds,0.5371428571428571,Commander Deck
Path of Ancestry,0.4742857142857143,Commander Deck
Terramorphic Expanse,0.42857142857142855,Commander Deck
Commander's Sphere,0.4114285714285714,Commander Deck
Temple of the False God,0.38857142857142857,Commander Deck
Myriad Landscape,0.37714285714285717,Commander Deck
Ash Barrens,0.3028571428571429,Commander Deck
Mind Stone,0.25142857142857145,Commander Deck
Swiftfoot Boots,0.22285714285714286,Commander Deck
Cultivate,0.22285714285714286,Commander Deck
Fellwar Stone,0.21714285714285714,Commander Deck
Lightning Greaves,0.21142857142857144,Commander Deck
Swords to Plowshares,0.21142857142857144,Commander Deck
Rogue's Passage,0.18857142857142858,Commander Deck
Reliquary Tower,0.18285714285714286,Commander Deck
Solemn Simulacrum,0.17714285714285713,Commander Deck
Evolving Wilds,0.15568862275449102,Intro Pack
Terramorphic Expanse,0.11976047904191617,Intro Pack
Pacifism,0.11976047904191617,Intro Pack
Negate,0.08383233532934131,Intro Pack
Doom Blade,0.07784431137724551,Intro Pack
Fireball,0.0718562874251497,Intro Pack
Giant Growth,0.0718562874251497,Intro Pack
Unsummon,0.0658682634730539,Intro Pack
Act of Treason,0.0658682634730539,Intro Pack
Naturalize,0.059880239520958084,Intro Pack
Serra Angel,0.05389221556886228,Intro Pack
Lightning Bolt,0.05389221556886228,Intro Pack
Sleep,0.05389221556886228,Intro Pack
Child of Night,0.05389221556886228,Intro Pack
Zombie Goliath,0.05389221556886228,Intro Pack
Divination,0.04790419161676647,Intro Pack
Lightning Strike,0.04790419161676647,Intro Pack
Silvercoat Lion,0.04790419161676647,Intro Pack
Rise from the Grave,0.04790419161676647,Intro Pack
Lava Axe,0.04790419161676647,Intro Pack
Meteor Golem,0.09900990099009901,Arena Starter Deck
Shock,0.09900990099009901,Arena Starter Deck
Murder,0.0891089108910891,Arena Starter Deck
Lightning Strike,0.07920792079207921,Arena Starter Deck
Abrade,0.0594059405940594,Arena Starter Deck
Disperse,0.04950495049504951,Arena Starter Deck
Negate,0.04950495049504951,Arena Starter Deck
Riddlemaster Sphinx,0.04950495049504951,Arena Starter Deck
Serra Angel,0.04950495049504951,Arena Starter Deck
