card,support,format_era
Disenchant,0.09134615384615384,Theme Deck × Pre-2015
Pacifism,0.08173076923076923,Theme Deck × Pre-2015
Dark Banishing,0.052884615384615384,Theme Deck × Pre-2015
Dark Ritual,0.04807692307692308,Theme Deck × Pre-2015
Terramorphic Expanse,0.04807692307692308,Theme Deck × Pre-2015
Giant Growth,0.04807692307692308,Theme Deck × Pre-2015
Counterspell,0.04807692307692308,Theme Deck × Pre-2015
Shock,0.04807692307692308,Theme Deck × Pre-2015
Gravedigger,0.04326923076923077,Theme Deck × Pre-2015
Air Elemental,0.04326923076923077,Theme Deck × Pre-2015
Raging Goblin,0.04326923076923077,Theme Deck × Pre-2015
Terror,0.038461538461538464,Theme Deck × Pre-2015
Drifting Meadow,0.038461538461538464,Theme Deck × Pre-2015
Polluted Mire,0.038461538461538464,Theme Deck × Pre-2015
Incinerate,0.038461538461538464,Theme Deck × Pre-2015
Naturalize,0.038461538461538464,Theme Deck × Pre-2015
Rampant Growth,0.038461538461538464,Theme Deck × Pre-2015
Blaze,0.03365384615384615,Theme Deck × Pre-2015
Fertile Ground,0.03365384615384615,Theme Deck × Pre-2015
Mana Leak,0.03365384615384615,Theme Deck × Pre-2015
Naturalize,0.26785714285714285,MTGO Redemption × Pre-2015
Mind Rot,0.19642857142857142,MTGO Redemption × Pre-2015
Cancel,0.17857142857142858,MTGO Redemption × Pre-2015
Pacifism,0.17857142857142858,MTGO Redemption × Pre-2015
Demolish,0.16071428571428573,MTGO Redemption × Pre-2015
Gravedigger,0.16071428571428573,MTGO Redemption × Pre-2015
Serra Angel,0.16071428571428573,MTGO Redemption × Pre-2015
Lava Axe,0.16071428571428573,MTGO Redemption × Pre-2015
Giant Spider,0.14285714285714285,MTGO Redemption × Pre-2015
Giant Growth,0.14285714285714285,MTGO Redemption × Pre-2015
Diabolic Tutor,0.14285714285714285,MTGO Redemption × Pre-2015
Unsummon,0.14285714285714285,MTGO Redemption × Pre-2015
Birds of Paradise,0.125,MTGO Redemption × Pre-2015
Negate,0.125,MTGO Redemption × Pre-2015
Shock,0.125,MTGO Redemption × Pre-2015
Divination,0.125,MTGO Redemption × Pre-2015
Shatter,0.125,MTGO Redemption × Pre-2015
Clone,0.125,MTGO Redemption × Pre-2015
Wurm's Tooth,0.10714285714285714,MTGO Redemption × Pre-2015
Act of Treason,0.10714285714285714,MTGO Redemption × Pre-2015
Sol Ring,1.0,Commander Deck × Pre-2015
Command Tower,0.6666666666666666,Commander Deck × Pre-2015
Evolving Wilds,0.6666666666666666,Commander Deck × Pre-2015
Swiftfoot Boots,0.6666666666666666,Commander Deck × Pre-2015
Temple of the False God,0.6666666666666666,Commander Deck × Pre-2015
Rupture Spire,0.6,Commander Deck × Pre-2015
Terramorphic Expanse,0.15151515151515152,Intro Pack × Pre-2015
Pacifism,0.14393939393939395,Intro Pack × Pre-2015
Doom Blade,0.09848484848484848,Intro Pack × Pre-2015
Negate,0.09090909090909091,Intro Pack × Pre-2015
Fireball,0.09090909090909091,Intro Pack × Pre-2015
Giant Growth,0.09090909090909091,Intro Pack × Pre-2015
Unsummon,0.08333333333333333,Intro Pack × Pre-2015
Naturalize,0.07575757575757576,Intro Pack × Pre-2015
Sleep,0.06818181818181818,Intro Pack × Pre-2015
Serra Angel,0.06818181818181818,Intro Pack × Pre-2015
Zombie Goliath,0.06818181818181818,Intro Pack × Pre-2015
Lightning Bolt,0.06818181818181818,Intro Pack × Pre-2015
Child of Night,0.06818181818181818,Intro Pack × Pre-2015
Act of Treason,0.06818181818181818,Intro Pack × Pre-2015
Rise from the Grave,0.06060606060606061,Intro Pack × Pre-2015
Silvercoat Lion,0.06060606060606061,Intro Pack × Pre-2015
Lava Axe,0.06060606060606061,Intro Pack × Pre-2015
Divination,0.06060606060606061,Intro Pack × Pre-2015
Coral Merfolk,0.05303030303030303,Intro Pack × Pre-2015
Lightning Strike,0.05303030303030303,Intro Pack × Pre-2015
Evolving Wilds,0.3,MTGO Redemption × 2015-2019
Negate,0.3,MTGO Redemption × 2015-2019
Act of Treason,0.2,MTGO Redemption × 2015-2019
Tormenting Voice,0.2,MTGO Redemption × 2015-2019
Anticipate,0.2,MTGO Redemption × 2015-2019
Demolish,0.2,MTGO Redemption × 2015-2019
Duress,0.2,MTGO Redemption × 2015-2019
Plummet,0.2,MTGO Redemption × 2015-2019
Mighty Leap,0.2,MTGO Redemption × 2015-2019
Mind Rot,0.2,MTGO Redemption × 2015-2019
Inspired Charge,0.2,MTGO Redemption × 2015-2019
Sure Strike,0.2,MTGO Redemption × 2015-2019
Bone to Ash,0.15,MTGO Redemption × 2015-2019
Foul Orchard,0.15,MTGO Redemption × 2015-2019
Gateway Plaza,0.15,MTGO Redemption × 2015-2019
Cancel,0.15,MTGO Redemption × 2015-2019
Fire Elemental,0.15,MTGO Redemption × 2015-2019
Forsaken Sanctuary,0.15,MTGO Redemption × 2015-2019
Colossal Dreadmaw,0.15,MTGO Redemption × 2015-2019
Macabre Waltz,0.15,MTGO Redemption × 2015-2019
Sol Ring,1.0,Commander Deck × 2015-2019
Command Tower,0.9333333333333333,Commander Deck × 2015-2019
Terramorphic Expanse,0.8333333333333334,Commander Deck × 2015-2019
Evolving Wilds,0.8333333333333334,Commander Deck × 2015-2019
Temple of the False God,0.4666666666666667,Commander Deck × 2015-2019
Commander's Sphere,0.43333333333333335,Commander Deck × 2015-2019
Lightning Greaves,0.36666666666666664,Commander Deck × 2015-2019
Exotic Orchard,0.36666666666666664,Commander Deck × 2015-2019
Ash Barrens,0.3333333333333333,Commander Deck × 2015-2019
Myriad Landscape,0.26666666666666666,Commander Deck × 2015-2019
Fellwar Stone,0.26666666666666666,Commander Deck × 2015-2019
Darksteel Ingot,0.26666666666666666,Commander Deck × 2015-2019
Azorius Chancery,0.26666666666666666,Commander Deck × 2015-2019
Rakdos Carnarium,0.23333333333333334,Commander Deck × 2015-2019
Golgari Rot Farm,0.23333333333333334,Commander Deck × 2015-2019
Boros Garrison,0.23333333333333334,Commander Deck × 2015-2019
Cultivate,0.23333333333333334,Commander Deck × 2015-2019
Thought Vessel,0.23333333333333334,Commander Deck × 2015-2019
Sakura-Tribe Elder,0.23333333333333334,Commander Deck × 2015-2019
Secluded Steppe,0.23333333333333334,Commander Deck × 2015-2019
Evolving Wilds,0.5714285714285714,Intro Pack × 2015-2019
Meteor Golem,0.24390243902439024,Arena Starter Deck × 2015-2019
Lightning Strike,0.17073170731707318,Arena Starter Deck × 2015-2019
Shock,0.14634146341463414,Arena Starter Deck × 2015-2019
Evolving Wilds,0.3023255813953488,MTGO Redemption × 2020-Present
Blossoming Sands,0.23255813953488372,MTGO Redemption × 2020-Present
Bloodfell Caves,0.23255813953488372,MTGO Redemption × 2020-Present
Tranquil Cove,0.23255813953488372,MTGO Redemption × 2020-Present
Dismal Backwater,0.23255813953488372,MTGO Redemption × 2020-Present
Jungle Hollow,0.23255813953488372,MTGO Redemption × 2020-Present
Wind-Scarred Crag,0.23255813953488372,MTGO Redemption × 2020-Present
Thornwood Falls,0.23255813953488372,MTGO Redemption × 2020-Present
Swiftwater Cliffs,0.23255813953488372,MTGO Redemption × 2020-Present
Scoured Barrens,0.23255813953488372,MTGO Redemption × 2020-Present
Rugged Highlands,0.23255813953488372,MTGO Redemption × 2020-Present
Broken Wings,0.20930232558139536,MTGO Redemption × 2020-Present
Plummet,0.18604651162790697,MTGO Redemption × 2020-Present
Thrill of Possibility,0.18604651162790697,MTGO Redemption × 2020-Present
Duress,0.13953488372093023,MTGO Redemption × 2020-Present
Return to Nature,0.13953488372093023,MTGO Redemption × 2020-Present
Negate,0.13953488372093023,MTGO Redemption × 2020-Present
Disdainful Stroke,0.13953488372093023,MTGO Redemption × 2020-Present
Titanic Growth,0.13953488372093023,MTGO Redemption × 2020-Present
Sol Ring,0.9846153846153847,Commander Deck × 2020-Present
Command Tower,0.9692307692307692,Commander Deck × 2020-Present
Arcane Signet,0.9615384615384616,Commander Deck × 2020-Present
Exotic Orchard,0.7461538461538462,Commander Deck × 2020-Present
Path of Ancestry,0.6076923076923076,Commander Deck × 2020-Present
Evolving Wilds,0.45384615384615384,Commander Deck × 2020-Present
Myriad Landscape,0.4230769230769231,Commander Deck × 2020-Present
Commander's Sphere,0.4153846153846154,Commander Deck × 2020-Present
Terramorphic Expanse,0.34615384615384615,Commander Deck × 2020-Present
Temple of the False God,0.3384615384615385,Commander Deck × 2020-Present
Ash Barrens,0.33076923076923076,Commander Deck × 2020-Present
Mind Stone,0.27692307692307694,Commander Deck × 2020-Present
Swords to Plowshares,0.2692307692307692,Commander Deck × 2020-Present
Prairie Stream,0.23076923076923078,Commander Deck × 2020-Present
Rogue's Passage,0.2230769230769231,Commander Deck × 2020-Present
Fellwar Stone,0.2230769230769231,Commander Deck × 2020-Present
Cultivate,0.2153846153846154,Commander Deck × 2020-Present
Reliquary Tower,0.2,Commander Deck × 2020-Present
Cinder Glade,0.2,Commander Deck × 2020-Present
Sunken Hollow,0.2,Commander Deck × 2020-Present
