antecedents,consequents,support,confidence,lift
"Command Tower, Evolving Wilds, Exotic Orchard","Arcane Signet, Sol Ring, Terramorphic Expanse",0.020334059549745823,0.4666666666666666,16.064999999999998
"Arcane Signet, Sol Ring, Terramorphic Expanse","Command Tower, Evolving Wilds, Exotic Orchard",0.020334059549745823,0.7,16.064999999999998
"Arcane Signet, Sol Ring, Terramorphic Expanse","Evolving Wilds, Exotic Orchard",0.020334059549745823,0.7,16.064999999999998
"Arcane Signet, Command Tower, Sol Ring, Terramorphic Expanse","Evolving Wilds, Exotic Orchard",0.020334059549745823,0.7,16.064999999999998
"Evolving Wilds, Exotic Orchard","Arcane Signet, Command Tower, Sol Ring, Terramorphic Expanse",0.020334059549745823,0.4666666666666666,16.064999999999998
"Evolving Wilds, Exotic Orchard","Arcane Signet, Sol Ring, Terramorphic Expanse",0.020334059549745823,0.4666666666666666,16.064999999999998
"Arcane Signet, Evolving Wilds, Sol Ring","Command Tower, Exotic Orchard, Terramorphic Expanse",0.020334059549745823,0.509090909090909,15.239525691699605
"Command Tower, Exotic Orchard, Terramorphic Expanse","Arcane Signet, Evolving Wilds, Sol Ring",0.020334059549745823,0.6086956521739131,15.239525691699605
"Commander's Sphere, Evolving Wilds","Sol Ring, Terramorphic Expanse",0.020334059549745823,0.7999999999999999,14.886486486486485
"Exotic Orchard, Terramorphic Expanse","Arcane Signet, Evolving Wilds, Sol Ring",0.020334059549745823,0.5833333333333333,14.604545454545452
"Arcane Signet, Evolving Wilds, Sol Ring","Exotic Orchard, Terramorphic Expanse",0.020334059549745823,0.509090909090909,14.604545454545452
"Exotic Orchard, Terramorphic Expanse","Arcane Signet, Command Tower, Evolving Wilds, Sol Ring",0.020334059549745823,0.5833333333333333,14.604545454545452
"Arcane Signet, Command Tower, Evolving Wilds, Sol Ring","Exotic Orchard, Terramorphic Expanse",0.020334059549745823,0.509090909090909,14.604545454545452
"Evolving Wilds, Exotic Orchard","Arcane Signet, Terramorphic Expanse",0.021060275962236745,0.4833333333333333,14.468478260869565
"Arcane Signet, Terramorphic Expanse","Evolving Wilds, Exotic Orchard",0.021060275962236745,0.6304347826086957,14.468478260869565
"Arcane Signet, Command Tower, Terramorphic Expanse","Evolving Wilds, Exotic Orchard",0.021060275962236745,0.6304347826086957,14.468478260869565
"Evolving Wilds, Exotic Orchard","Arcane Signet, Command Tower, Terramorphic Expanse",0.021060275962236745,0.4833333333333333,14.468478260869565
"Arcane Signet, Terramorphic Expanse","Command Tower, Evolving Wilds, Exotic Orchard",0.021060275962236745,0.6304347826086957,14.468478260869565
"Command Tower, Evolving Wilds, Exotic Orchard","Arcane Signet, Terramorphic Expanse",0.021060275962236745,0.4833333333333333,14.468478260869565
"Command Tower, Path of Ancestry","Arcane Signet, Evolving Wilds, Exotic Orchard, Sol Ring",0.02832244008714597,0.47560975609756095,14.23727465535525
"Arcane Signet, Evolving Wilds, Exotic Orchard, Sol Ring","Command Tower, Path of Ancestry",0.02832244008714597,0.8478260869565217,14.237274655355248
"Arcane Signet, Terramorphic Expanse","Evolving Wilds, Exotic Orchard, Sol Ring",0.020334059549745823,0.6086956521739131,14.206337509211497
"Arcane Signet, Command Tower, Terramorphic Expanse","Evolving Wilds, Exotic Orchard, Sol Ring",0.020334059549745823,0.6086956521739131,14.206337509211497
"Arcane Signet, Terramorphic Expanse","Command Tower, Evolving Wilds, Exotic Orchard, Sol Ring",0.020334059549745823,0.6086956521739131,14.206337509211497
"Command Tower, Evolving Wilds, Exotic Orchard, Sol Ring","Arcane Signet, Terramorphic Expanse",0.020334059549745823,0.47457627118644063,14.206337509211496
"Evolving Wilds, Exotic Orchard, Sol Ring","Arcane Signet, Terramorphic Expanse",0.020334059549745823,0.47457627118644063,14.206337509211496
"Evolving Wilds, Exotic Orchard, Sol Ring","Arcane Signet, Command Tower, Terramorphic Expanse",0.020334059549745823,0.47457627118644063,14.206337509211496
"Arcane Signet, Ash Barrens, Exotic Orchard","Command Tower, Path of Ancestry, Sol Ring",0.02178649237472767,0.8333333333333334,14.166666666666668
"Arcane Signet, Evolving Wilds, Exotic Orchard","Command Tower, Path of Ancestry, Sol Ring",0.02832244008714597,0.8297872340425532,14.106382978723405
"Command Tower, Path of Ancestry, Sol Ring","Arcane Signet, Evolving Wilds, Exotic Orchard",0.02832244008714597,0.48148148148148145,14.106382978723403
Path of Ancestry,"Arcane Signet, Command Tower, Evolving Wilds, Exotic Orchard, Sol Ring",0.02832244008714597,0.46987951807228917,14.065741225772657
Path of Ancestry,"Arcane Signet, Evolving Wilds, Exotic Orchard, Sol Ring",0.02832244008714597,0.46987951807228917,14.065741225772657
"Arcane Signet, Command Tower, Evolving Wilds, Exotic Orchard, Sol Ring",Path of Ancestry,0.02832244008714597,0.8478260869565217,14.065741225772657
"Arcane Signet, Evolving Wilds, Exotic Orchard, Sol Ring",Path of Ancestry,0.02832244008714597,0.8478260869565217,14.065741225772657
"Arcane Signet, Ash Barrens, Command Tower, Exotic Orchard","Path of Ancestry, Sol Ring",0.02178649237472767,0.8333333333333334,13.99390243902439
"Arcane Signet, Ash Barrens, Exotic Orchard","Command Tower, Path of Ancestry",0.02178649237472767,0.8333333333333334,13.99390243902439
"Arcane Signet, Ash Barrens, Exotic Orchard, Sol Ring","Command Tower, Path of Ancestry",0.02178649237472767,0.8333333333333334,13.99390243902439
"Arcane Signet, Ash Barrens, Exotic Orchard","Path of Ancestry, Sol Ring",0.02178649237472767,0.8333333333333334,13.99390243902439
"Command Tower, Path of Ancestry","Arcane Signet, Evolving Wilds, Exotic Orchard",0.02832244008714597,0.47560975609756095,13.934353918007265
"Path of Ancestry, Sol Ring","Arcane Signet, Command Tower, Evolving Wilds, Exotic Orchard",0.02832244008714597,0.47560975609756095,13.934353918007265
"Path of Ancestry, Sol Ring","Arcane Signet, Evolving Wilds, Exotic Orchard",0.02832244008714597,0.47560975609756095,13.934353918007265
"Arcane Signet, Evolving Wilds, Exotic Orchard","Path of Ancestry, Sol Ring",0.02832244008714597,0.8297872340425532,13.934353918007265
"Arcane Signet, Command Tower, Evolving Wilds, Exotic Orchard","Path of Ancestry, Sol Ring",0.02832244008714597,0.8297872340425532,13.934353918007265
"Arcane Signet, Evolving Wilds, Exotic Orchard","Command Tower, Path of Ancestry",0.02832244008714597,0.8297872340425532,13.934353918007265
"Arcane Signet, Ash Barrens, Command Tower, Exotic Orchard, Sol Ring",Path of Ancestry,0.02178649237472767,0.8333333333333334,13.825301204819278
"Arcane Signet, Ash Barrens, Exotic Orchard, Sol Ring",Path of Ancestry,0.02178649237472767,0.8333333333333334,13.825301204819278
